average_farm_price_per_tonne,average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
187.2,4725,3216.87,1682.34,680.82,602198.06,Clay,No,541.54,12.56,Low,No,Large
312,3492,1965.37,1390.76,562.82,613195.44,Silty,Yes,479.32,13.77,High,No,Large
260,3104,2733.79,2176.33,880.73,710785.4,Peaty,No,347.93,6.9,High,Yes,Large
260,3212,744.8,572.99,231.88,193648,Sandy,Yes,290.01,11.43,Medium,No,Small
197.6,4188,2606.65,1538.01,622.41,515074.04,Silty,Yes,506.58,13.34,Low,Yes,Small
260,4463,1948.95,1079.08,436.69,506727,Sandy,Yes,413.06,11.9,High,No,Small
156,1924,447.58,574.84,232.63,69822.48,Loamy,Yes,518.67,10.86,Medium,Yes,Small
166.4,1928,848.38,1087.34,440.03,141170.43,Sandy,No,346.82,10.38,Medium,Yes,Small
156,2266,426.05,464.61,188.02,66463.8,Peaty,Yes,438.9,11.11,Medium,No,Medium
187.2,5558,439.14,195.24,79.01,82207.01,Clay,Yes,468.5,9.71,Medium,No,Small
166.4,1525,816.73,1323.4,535.56,135903.87,Sandy,No,416.46,15.55,Low,No,Medium
260,4158,2058.67,1223.44,495.11,535254.2,Loamy,Yes,437.25,9.07,Low,No,Large
260,4545,4185.76,2275.74,920.96,1088297.6,Loamy,No,319.8,13.87,Medium,No,Medium
176.8,1655,1239.69,1850.96,749.06,219177.19,Sandy,No,320.16,7.11,Low,No,Small
260,2492,736.21,730.02,295.43,191414.6,Clay,Yes,172.73,11.02,High,No,Large
197.6,3843,1536.16,987.75,399.73,303545.22,Clay,No,463.48,8.79,High,Yes,Medium
312,2751,1329.53,1194.23,483.29,414813.36,Loamy,No,440.39,13.02,High,Yes,Medium
176.8,2260,1923.42,2103.04,851.07,340060.66,Clay,Yes,352.91,12.44,Low,Yes,Large
166.4,1496,1395.06,2304.33,932.53,232137.98,Loamy,Yes,623.29,12.79,Low,No,Large
416,1838,1483.3,1994.19,807.02,617052.8,Loamy,No,617.24,10.93,Low,Yes,Small
520,3292,1124.38,843.99,341.55,584677.6,Loamy,No,376.02,15,Low,Yes,Small
260,3256,880,667.85,270.27,228800,Clay,Yes,528.4,7.02,High,No,Medium
208,3554,3533.32,2456.67,994.18,734930.56,Silty,Yes,334.2,10.8,Medium,No,Large
197.6,4228,1837.4,1073.87,434.58,363070.24,Sandy,No,303.73,10.5,High,No,Medium
416,1269,646.67,1259.22,509.59,269014.72,Silty,Yes,267.22,9.09,Medium,No,Large
260,4461,3107.76,1721.46,696.65,808017.6,Peaty,Yes,427.92,18.17,Medium,No,Medium
197.6,3472,1638.26,1165.96,471.85,323720.18,Clay,No,498.95,16.04,Low,Yes,Small
312,2342,449.57,474.34,191.96,140265.84,Loamy,Yes,250.36,14.54,Low,Yes,Large
312,2818,913.14,800.72,324.04,284899.68,Sandy,No,340.64,12.19,High,Yes,Medium
187.2,4009,3367,2075.34,839.86,630302.4,Silty,Yes,379.1,11.59,Medium,No,Medium
416,1848,887.37,1186.55,480.18,369145.92,Peaty,Yes,357.29,16.71,Medium,No,Small
156,1660,423.75,630.78,255.27,66105,Clay,No,385.17,12.2,Medium,Yes,Large
208,3258,3226.33,2447.03,990.28,671076.64,Loamy,Yes,312.84,13.3,Medium,Yes,Large
197.6,4542,507.84,276.29,111.81,100349.18,Silty,Yes,459.7,19.1,High,Yes,Medium
156,1219,156.96,318.17,128.76,24485.76,Peaty,No,265.21,15.69,Low,No,Small
187.2,4815,3907.57,2005.36,811.54,731497.1,Clay,Yes,317.57,11.15,High,No,Large
208,3416,1669.02,1207.33,488.59,347156.16,Sandy,No,526.89,11.7,Medium,No,Small
520,2523,1607.43,1574.33,637.11,835863.6,Clay,Yes,205.91,10.56,High,No,Large
176.8,2331,928.51,984.29,398.33,164160.57,Loamy,No,409.9,11.09,Medium,No,Small
187.2,4110,3561.19,2141.09,866.47,666654.77,Sandy,No,280.65,10.75,Medium,No,Large
187.2,4990,914.62,452.92,183.29,171216.86,Clay,Yes,376.38,10.73,Medium,Yes,Small
156,1629,1508.67,2288.51,926.13,235352.52,Silty,Yes,214.5,9.5,Medium,Yes,Large
520,3663,287.4,193.88,78.46,149448,Loamy,Yes,444.82,9.95,Medium,No,Medium
176.8,2219,1643.52,1830.21,740.66,290574.34,Sandy,Yes,400.03,6.98,Low,No,Small
520,3699,3445.99,2302.03,931.6,1791914.8,Sandy,No,510.54,8.82,Medium,Yes,Small
416,1494,412.88,682.9,276.36,171758.08,Sandy,Yes,410.66,14.9,Low,No,Medium
208,2960,582.32,486.13,196.73,121122.56,Sandy,No,321.24,13.95,Medium,Yes,Medium
187.2,5400,1535,702.42,284.26,287352,Clay,Yes,433.9,10.87,Medium,Yes,Small
260,4738,1036.63,540.64,218.79,269523.8,Loamy,Yes,490.89,13.9,Medium,No,Medium
416,1588,1310.94,2039.93,825.53,545351.04,Sandy,No,384.26,14.26,Low,No,Large
156,2337,1271.89,1344.84,544.24,198414.84,Peaty,No,384.18,16.05,Medium,No,Small
312,2807,2248.1,1979.04,800.89,701407.2,Silty,No,508.51,21.48,Medium,Yes,Small
166.4,1600,1272.53,1965.3,795.33,211748.99,Loamy,Yes,372.76,6.17,High,No,Medium
312,2387,1814.93,1878.84,760.34,566258.16,Loamy,No,453.82,7.75,Medium,No,Medium
416,1639,901.35,1358.93,549.94,374961.6,Silty,No,427.65,8.48,Medium,No,Small
416,2031,1090.18,1326.39,536.77,453514.88,Peaty,Yes,325.22,10.48,Medium,No,Medium
187.2,4914,3872.58,1947.36,788.07,724946.98,Peaty,No,333.6,9.88,Medium,Yes,Small
176.8,1352,622.35,1137.47,460.32,110031.48,Clay,Yes,252.66,7.22,Medium,No,Small
520,3038,3029.13,2463.83,997.08,1575147.6,Loamy,No,461.91,13.72,Medium,Yes,Medium
187.2,4666,1561.57,826.99,334.67,292325.9,Loamy,Yes,415.83,13.13,Low,No,Medium
197.6,3961,452.58,282.34,114.26,89429.81,Sandy,No,312.68,13.17,High,No,Medium
176.8,2173,1888.36,2147.37,869.01,333862.05,Silty,No,380.61,11.39,High,No,Large
520,3088,2139.71,1712.22,692.91,1112649.2,Sandy,No,536.69,11.18,Low,No,Medium
187.2,5334,4557,2111.09,854.33,853070.4,Loamy,Yes,490.33,11.96,High,No,Medium
166.4,1561,905.97,1434.15,580.38,150753.41,Peaty,No,408.28,3.03,Low,Yes,Large
156,2300,1733.21,1862.11,753.57,270380.76,Loamy,No,318.21,9.32,Medium,Yes,Medium
416,1507,1334.61,2188.39,885.61,555197.76,Clay,Yes,354.59,10.95,Medium,No,Large
156,1636,411.31,621.25,251.41,64164.36,Silty,Yes,386.37,8.72,Medium,Yes,Small
176.8,2070,932.39,1113.04,450.43,164846.55,Loamy,Yes,452.67,7.53,High,No,Small
208,2404,1569.5,1613.27,652.87,326456,Sandy,No,375.59,10.15,Medium,Yes,Large
520,3496,1707.1,1206.61,488.3,887692,Clay,No,439.35,9.15,High,No,Medium
187.2,5992,968.07,399.22,161.56,181222.7,Loamy,Yes,410.73,17.95,Low,No,Large
520,3243,2430.89,1852.25,749.58,1264062.8,Silty,No,383.89,8.42,Low,Yes,Large
166.4,1697,886.36,1290.65,522.31,147490.3,Silty,Yes,647.98,10.77,Medium,Yes,Medium
312,2155,180.7,207.2,83.85,56378.4,Loamy,No,176.65,14.65,Low,No,Small
176.8,2519,1312.52,1287.54,521.05,232053.54,Silty,No,546.9,13.59,Medium,Yes,Small
176.8,2791,508.72,450.4,182.27,89941.7,Silty,No,337.32,12.15,Medium,No,Small
166.4,1628,128.91,195.66,79.18,21450.62,Silty,Yes,372.66,10.31,Medium,Yes,Large
156,1832,398.44,537.43,217.49,62156.64,Peaty,No,424.62,9.93,Low,Yes,Small
520,3020,1914.02,1566.1,633.78,995290.4,Loamy,Yes,447.21,12.66,Medium,Yes,Small
156,2215,1424.05,1588.66,642.91,222151.8,Sandy,No,423.71,9.93,Low,No,Large
156,2115,533.04,622.78,252.03,83154.24,Loamy,Yes,416.68,9.63,High,No,Small
208,3382,2323.43,1697.61,687,483273.44,Loamy,Yes,387.47,9.6,High,No,Small
520,3858,3667.38,2348.96,950.59,1907037.6,Peaty,Yes,453.74,12.42,Medium,Yes,Large
166.4,1819,268.07,364.16,147.37,44606.85,Silty,Yes,473.19,10.3,Medium,Yes,Small
208,2378,328.07,340.91,137.96,68238.56,Silty,No,288.7,16.54,High,No,Large
416,2049,1553.65,1873.67,758.25,646318.4,Peaty,Yes,464.27,15.25,Medium,Yes,Medium
520,3936,3259.4,2046.28,828.1,1694888,Loamy,No,473.84,10.85,Medium,No,Medium
156,1838,1735.66,2333.46,944.32,270762.96,Clay,No,489.8,10.96,Low,Yes,Medium
416,1492,961.04,1591.68,644.13,399792.64,Sandy,No,480.33,13.84,High,No,Small
197.6,3786,1147.12,748.7,302.99,226670.91,Silty,No,555.39,5.17,High,No,Small
166.4,2073,504.26,601.08,243.25,83908.86,Clay,No,300.78,14.63,Medium,No,Large
166.4,1665,1656.76,2458.82,995.05,275684.86,Sandy,No,474.76,10.67,Medium,No,Small
312,2894,2419.36,2065.77,835.99,754840.32,Sandy,Yes,386.02,4.85,High,Yes,Large
176.8,1493,82.62,136.75,55.34,14607.22,Peaty,Yes,230.76,11.94,Low,Yes,Medium
520,3190,2955.92,2289.72,926.62,1537078.4,Loamy,Yes,358.96,10.39,Low,No,Medium
260,4218,3541.56,2074.77,839.63,920805.6,Clay,No,400.56,9.72,Medium,Yes,Large
260,3998,1211.71,748.93,303.08,315044.6,Silty,Yes,379.81,13.28,Medium,Yes,Small
156,2067,1964.89,2348.98,950.6,306522.84,Sandy,No,354.85,10.14,Low,No,Medium
176.8,2309,214.14,229.17,92.74,37859.95,Silty,Yes,349.99,13.11,High,No,Small
312,2847,2361.44,2049.61,829.45,736769.28,Silty,Yes,519.09,13.62,High,No,Large
197.6,3822,1408.33,910.53,368.48,278286.01,Peaty,No,376.19,8.81,Medium,Yes,Medium
208,3417,329.3,238.14,96.37,68494.4,Peaty,Yes,407.5,11.46,Medium,No,Large
187.2,4376,3957.3,2234.62,904.32,740806.56,Clay,Yes,360.95,19.23,Medium,No,Small
187.2,5848,3967.11,1676.29,678.37,742642.99,Loamy,Yes,441.23,12.81,High,No,Small
312,2662,899.7,835.17,337.98,280706.4,Silty,Yes,380.05,7.93,Low,No,Large
197.6,4011,2069.8,1275.14,516.03,408992.48,Clay,Yes,393.96,11.78,High,No,Small
156,1973,820.51,1027.64,415.87,127999.56,Sandy,No,329.01,11.7,Low,No,Small
416,1668,128.27,190.02,76.9,53360.32,Peaty,No,365.36,6.66,High,No,Medium
520,3142,904.71,711.51,287.94,470449.2,Silty,No,432.24,10.07,Low,No,Large
156,1808,525.91,718.78,290.88,82041.96,Loamy,Yes,522.27,12.14,Medium,Yes,Large
156,2299,1866.31,2005.97,811.79,291144.36,Clay,Yes,378.03,11.92,Medium,Yes,Medium
187.2,5036,773.48,379.53,153.59,144795.46,Clay,Yes,447.54,15.79,Medium,No,Medium
187.2,3503,3241.92,2286.88,925.47,606887.42,Loamy,No,528.88,7.74,Medium,No,Large
176.8,2952,2700.25,2260.32,914.72,477404.2,Sandy,Yes,484.98,13.35,High,Yes,Small
156,2150,1065.76,1224.9,495.7,166258.56,Peaty,Yes,311.79,12.02,Medium,No,Large
260,4795,4255.23,2192.88,887.43,1106359.8,Silty,Yes,434.62,11.61,Low,Yes,Small
166.4,1869,1706.15,2255.75,912.87,283903.36,Sandy,Yes,504.64,11.3,Low,No,Medium
187.2,4617,476.52,255.04,103.21,89204.54,Silty,Yes,438.03,6.53,High,No,Medium
312,2636,920.7,863.09,349.28,287258.4,Clay,No,505.7,7.14,High,No,Medium
166.4,1483,1380.81,2300.77,931.09,229766.78,Peaty,Yes,457.31,11.5,Low,Yes,Small
208,3488,534.92,378.96,153.36,111263.36,Loamy,Yes,459.1,16.34,Medium,No,Small
260,4308,1996.63,1145.26,463.47,519123.8,Peaty,No,466.22,12.4,Medium,Yes,Large
312,2771,598.09,533.35,215.84,186604.08,Clay,No,581.07,12.26,Low,Yes,Small
260,4698,3451.76,1815.55,734.73,897457.6,Loamy,Yes,423.73,10.76,Medium,No,Large
208,2750,2001.23,1798.23,727.72,416255.84,Silty,No,334.99,12.44,Medium,Yes,Large
166.4,1856,713.93,950.51,384.66,118797.95,Silty,No,394.12,17.75,High,Yes,Large
197.6,3255,2172.35,1649.15,667.39,429256.36,Peaty,Yes,375.16,14.18,Medium,No,Medium
156,1651,512.21,766.62,310.24,79904.76,Peaty,Yes,414.91,18.12,Low,No,Medium
156,1777,1297.55,1804.34,730.19,202417.8,Clay,No,413.89,8.63,Low,Yes,Medium
520,3654,3458.18,2338.63,946.41,1798253.6,Loamy,Yes,397.13,12.18,High,Yes,Medium
197.6,4643,2627.61,1398.44,565.93,519215.74,Clay,No,393.73,15.28,Medium,Yes,Medium
187.2,4802,523.32,269.3,108.98,97965.5,Silty,No,377.45,14.52,Medium,No,Small
166.4,1740,153.33,217.75,88.12,25514.11,Loamy,No,408.88,14.06,Medium,No,Small
166.4,1408,1181.06,2072.77,838.82,196528.38,Clay,Yes,275.5,13.9,Medium,No,Medium
166.4,2158,1900.66,2176.38,880.75,316269.82,Peaty,Yes,326.99,10.67,High,Yes,Large
197.6,4131,3722.73,2226.84,901.17,735611.45,Peaty,Yes,490.51,12.8,Low,No,Large
197.6,2956,1005.54,840.58,340.17,198694.7,Peaty,Yes,343.62,7.96,High,Yes,Medium
260,3773,3449.2,2258.98,914.18,896792,Loamy,No,407.86,15.94,Medium,No,Medium
416,1784,333.64,462.14,187.02,138794.24,Loamy,No,436.03,17.94,High,No,Medium
520,3938,1341.99,842.08,340.78,697834.8,Silty,No,340.26,15.24,Medium,No,Small
260,2867,650.75,560.88,226.98,169195,Peaty,No,244.67,9.68,High,No,Large
166.4,1906,1326,1719.11,695.7,220646.4,Peaty,Yes,543.58,8.34,Medium,Yes,Large
187.2,4577,1853.32,1000.58,404.92,346941.5,Silty,No,382.24,13.68,Medium,No,Medium
197.6,3583,1571.47,1083.78,438.59,310522.47,Sandy,Yes,472,9.5,Low,No,Small
156,2153,1780.77,2043.83,827.11,277800.12,Loamy,Yes,513.89,12.04,Low,Yes,Small
176.8,2671,277.04,256.3,103.72,48980.67,Sandy,No,429.75,14.25,Medium,No,Large
312,2595,560.81,534.02,216.11,174972.72,Peaty,No,363.83,6.49,Medium,Yes,Large
156,2313,1941.39,2074.05,839.34,302856.84,Sandy,Yes,363.63,17.23,Medium,Yes,Large
208,3066,1916.5,1544.6,625.08,398632,Peaty,No,405.84,15.9,Low,Yes,Medium
520,2040,1897.85,2298.87,930.32,986882,Silty,No,277.04,7.35,Medium,No,Medium
197.6,2472,144.71,144.66,58.54,28594.7,Silty,No,227.22,11.9,Low,Yes,Large
520,1753,165.68,233.54,94.51,86153.6,Peaty,Yes,243.69,5.9,Medium,No,Large
312,2629,992.58,932.94,377.55,309684.96,Silty,No,228.29,12.93,Medium,Yes,Medium
197.6,3294,917.15,688.01,278.43,181228.84,Peaty,Yes,378.95,9.2,High,Yes,Large
176.8,2624,358.12,337.25,136.48,63315.62,Clay,Yes,310.6,10.44,Medium,No,Large
187.2,4706,3190.2,1675.12,677.9,597205.44,Peaty,No,458.69,9.43,High,No,Small
416,1689,1247.68,1825.39,738.71,519034.88,Clay,No,392.74,12.73,Low,No,Medium
208,3297,2177.08,1631.68,660.32,452832.64,Clay,No,516.85,17.06,High,No,Small
208,2170,1191.81,1357.15,549.22,247896.48,Clay,Yes,230.32,11.94,Medium,No,Large
520,1968,1880.05,2360.62,955.31,977626,Clay,No,237.47,12.88,High,No,Large
260,2282,2018.22,2185.42,884.41,524737.2,Peaty,No,234.57,7.7,Low,No,Large
156,1455,1354.94,2301.12,931.23,211370.64,Peaty,Yes,359.43,7.29,Medium,Yes,Large
156,1725,993.48,1423.15,575.93,154982.88,Silty,Yes,516.6,8.1,Medium,Yes,Small
197.6,4103,3078.52,1854.05,750.31,608315.55,Silty,Yes,312.67,13.28,Medium,No,Medium
312,2728,1145.49,1037.59,419.9,357392.88,Silty,No,527.93,12.84,High,No,Small
312,3313,2099.32,1565.81,633.66,654987.84,Clay,No,443.61,14.53,High,Yes,Large
416,2011,1855.45,2279.91,922.65,771867.2,Silty,No,460.58,10.64,Low,No,Small
312,3124,716.8,566.98,229.45,223641.6,Silty,No,343.8,8.29,High,Yes,Medium
416,1313,1119.82,2107.48,852.87,465845.12,Clay,No,600.44,11.86,Low,Yes,Medium
176.8,2132,1660.76,1924.87,778.97,293622.37,Peaty,No,347.47,16.72,High,No,Medium
260,4355,1252.15,710.48,287.52,325559,Loamy,No,399.98,9.6,Medium,No,Small
260,3638,3008.92,2043.76,827.08,782319.2,Loamy,No,337.4,10.55,Low,No,Medium
156,1849,1543.23,2062.41,834.63,240743.88,Peaty,Yes,574.5,9.1,Medium,No,Medium
312,2644,2633.79,2461.51,996.14,821742.48,Silty,Yes,405.28,13.43,Medium,Yes,Large
312,2233,1007.48,1114.89,451.18,314333.76,Peaty,Yes,288.09,8.5,Medium,Yes,Large
260,2314,1001.27,1069.22,432.7,260330.2,Clay,No,269.69,16.45,Medium,Yes,Small
176.8,2071,403.93,481.95,195.04,71414.82,Peaty,Yes,454.73,16.76,Low,No,Large
166.4,1702,1544.07,2241.76,907.21,256933.25,Loamy,Yes,635.83,15.09,High,No,Large
166.4,2024,659.62,805.32,325.9,109760.77,Loamy,Yes,445.09,13.18,Medium,No,Large
166.4,1938,1004.45,1280.72,518.29,167140.48,Clay,No,466.77,9.6,Low,No,Large
156,1715,658.9,949.38,384.2,102788.4,Sandy,No,338.3,11.56,High,Yes,Medium
166.4,1832,935.03,1261.2,510.39,155588.99,Sandy,No,453.53,10.35,Medium,Yes,Large
166.4,1734,1176.19,1676.14,678.31,195718.02,Loamy,No,473.11,11.21,Medium,Yes,Medium
176.8,2824,1683.27,1472.89,596.06,297602.14,Silty,Yes,425.37,10.19,Medium,No,Medium
312,3553,1896.2,1318.77,533.69,591614.4,Loamy,Yes,393.5,10.67,Medium,No,Medium
176.8,2639,2095.74,1962.36,794.14,370526.83,Peaty,Yes,476.88,16.59,Medium,Yes,Medium
520,3138,2346.19,1847.53,747.67,1220018.8,Loamy,Yes,445.97,14.86,Medium,Yes,Large
166.4,1685,1144.35,1678.19,679.14,190419.84,Peaty,No,478.81,10.39,High,Yes,Medium
208,3417,3039.8,2198.27,889.61,632278.4,Peaty,Yes,366.62,13.04,Low,No,Medium
156,1879,1184.63,1557.9,630.46,184802.28,Clay,No,345.2,10.6,Medium,No,Medium
197.6,2484,1651.61,1643,664.9,326358.14,Loamy,Yes,299.04,8.79,Medium,Yes,Large
312,2845,2101.2,1825.02,738.56,655574.4,Clay,Yes,344.33,13.94,Medium,Yes,Small
208,2520,1837.41,1801.72,729.13,382181.28,Silty,No,465.03,4.46,Low,No,Small
520,3762,2008.34,1319.17,533.85,1044336.8,Loamy,Yes,468.56,8.58,High,Yes,Small
416,2153,716.24,822.04,332.67,297955.84,Loamy,Yes,483.99,18.52,Low,No,Medium
416,1458,646.93,1096.43,443.71,269122.88,Peaty,No,387.52,10.14,Medium,No,Large
187.2,5015,2272.6,1119.78,453.16,425430.72,Loamy,No,460.42,11.11,Medium,No,Large
260,3277,1156.58,872.13,352.94,300710.8,Peaty,No,262.73,11.46,Medium,No,Small
416,1474,1445.43,2423.16,980.62,601298.88,Clay,Yes,388.91,12.16,High,No,Small
187.2,4350,1721.12,977.7,395.66,322193.66,Sandy,No,488.84,14.01,High,Yes,Medium
156,1631,1428.1,2163.65,875.6,222783.6,Silty,Yes,326.11,6.39,Medium,No,Large
208,3200,2349.86,1814.57,734.33,488770.88,Clay,No,519.62,16.28,High,No,Small
176.8,1859,1371.74,1823.36,737.89,242523.63,Peaty,Yes,217.42,16.37,Low,Yes,Medium
312,2983,937.26,776.4,314.2,292425.12,Silty,No,410.03,3.47,Medium,Yes,Large
187.2,4641,3567.35,1899.4,768.66,667807.92,Sandy,No,365.01,10.33,Low,Yes,Large
176.8,2246,1479.51,1627.75,658.73,261577.37,Clay,No,456.91,14.3,Medium,No,Small
166.4,1738,1517.43,2157.45,873.09,252500.35,Peaty,Yes,398.07,14.98,Medium,Yes,Small
156,1491,1468.99,2434.58,985.24,229162.44,Peaty,Yes,419.99,6.2,Medium,Yes,Medium
416,1598,1296.79,2005.28,811.51,539464.64,Clay,No,470.7,10.51,Medium,No,Medium
197.6,3510,3274.69,2305.39,932.96,647078.74,Loamy,No,539.21,14.93,Medium,No,Large
187.2,4494,2050.03,1127.22,456.17,383765.62,Sandy,Yes,304.87,10.89,Low,Yes,Medium
312,3438,437.9,314.74,127.37,136624.8,Loamy,Yes,601.26,9.78,High,Yes,Small
520,3111,332.29,263.93,106.81,172790.8,Sandy,No,350.63,13.11,Medium,No,Large
260,3414,1787.06,1293.47,523.45,464635.6,Loamy,No,304.29,12.78,High,No,Medium
208,2914,2661.24,2256.71,913.26,553537.92,Sandy,No,332.79,10.51,Medium,No,Large
312,3712,1626.82,1082.96,438.26,507567.84,Sandy,No,561.06,10.19,Medium,Yes,Medium
176.8,2491,834.96,828.27,335.19,147620.93,Clay,Yes,482.36,10.95,Medium,Yes,Small
520,2397,2109.96,2175.14,880.25,1097179.2,Peaty,No,435.37,7.07,Medium,No,Small
156,2336,210.99,223.19,90.32,32914.44,Peaty,No,506.21,11.96,Medium,Yes,Large
208,3049,1426.9,1156.43,467.99,296795.2,Clay,Yes,414.54,11.92,High,Yes,Medium
312,2687,2629.01,2417.72,978.42,820251.12,Clay,No,296.85,8.7,High,No,Large
187.2,5683,706.51,307.2,124.32,132258.67,Silty,No,592.66,14.32,Low,Yes,Large
260,3909,3546.01,2241.59,907.14,921962.6,Silty,Yes,384.33,15.03,High,Yes,Small
166.4,1622,853.14,1299.72,525.98,141962.5,Loamy,Yes,519.75,16.1,High,No,Medium
197.6,4597,4071.24,2188.44,885.63,804477.02,Silty,No,453.49,10.19,Medium,Yes,Large
312,2329,1584.91,1681.57,680.51,494491.92,Silty,Yes,303.49,4.87,High,Yes,Small
156,1695,1452.72,2117.84,857.06,226624.32,Clay,Yes,425.71,15.11,Medium,Yes,Medium
520,3335,3334.87,2470.95,999.96,1734132.4,Clay,No,412.83,8.86,High,Yes,Medium
416,2142,1780.28,2053.76,831.13,740596.48,Silty,Yes,512.2,11.66,Medium,Yes,Medium
156,1972,816.66,1023.34,414.13,127398.96,Loamy,No,343.22,11.21,High,No,Medium
156,2381,290.62,301.62,122.06,45336.72,Silty,No,426.84,10.39,Medium,No,Large
166.4,1370,508.83,917.77,371.41,84669.31,Sandy,Yes,181.63,9.42,Medium,No,Small
156,1725,1339.48,1918.8,776.51,208958.88,Loamy,Yes,360.84,6.87,Medium,Yes,Small
156,1338,402.07,742.55,300.5,62722.92,Sandy,No,179.47,15.58,Medium,No,Medium
312,2941,2556.52,2148.01,869.27,797634.24,Clay,No,319.83,15.9,Low,Yes,Medium
166.4,2078,1317.29,1566.45,633.92,219197.06,Sandy,No,400.78,11.33,Medium,Yes,Medium
520,3572,2947.94,2039.33,825.29,1532928.8,Loamy,Yes,383.23,11.62,Medium,Yes,Large
520,2476,2185.19,2180.83,882.55,1136298.8,Peaty,Yes,278.14,8.98,Medium,No,Small
260,3901,1637.21,1037.07,419.69,425674.6,Clay,No,319.78,11.58,High,Yes,Large
176.8,2239,2214.93,2444.49,989.25,391599.62,Clay,Yes,430.35,5.46,High,No,Small
260,2928,1181.74,997.32,403.6,307252.4,Sandy,Yes,619.34,15.19,Low,Yes,Large
260,4136,441.77,263.93,106.81,114860.2,Sandy,Yes,431.7,9.35,Medium,Yes,Medium
260,3062,176.28,142.26,57.57,45832.8,Clay,Yes,298.32,15.45,Medium,No,Medium
176.8,2243,430.59,474.37,191.97,76128.31,Sandy,Yes,354.01,8.1,Medium,No,Large
260,4668,1695.42,897.49,363.2,440809.2,Peaty,No,552.59,13.29,Low,No,Small
176.8,2199,1496.57,1681.72,680.57,264593.58,Loamy,No,453.62,9.42,Medium,Yes,Medium
197.6,4197,1649.63,971.25,393.05,325966.89,Clay,No,504.45,9.43,Medium,No,Medium
156,2382,2126.44,2205.93,892.71,331724.64,Sandy,No,335.85,11.93,Medium,Yes,Large
260,2619,2011.31,1897.69,767.97,522940.6,Clay,Yes,157.65,8.43,Low,No,Large
520,2439,1152.48,1167.62,472.52,599289.6,Sandy,No,260.77,10.72,Medium,No,Large
520,4129,2611.96,1563.16,632.59,1358219.2,Sandy,Yes,344.64,8.26,High,Yes,Small
260,4156,3622.66,2153.94,871.67,941891.6,Loamy,Yes,507.77,10.99,Medium,No,Medium
260,3515,2382.64,1675,677.85,619486.4,Clay,No,462.82,14.64,Medium,Yes,Small
187.2,5229,3211.81,1517.79,614.23,601250.83,Silty,Yes,447.36,10.95,Medium,No,Medium
416,1243,516.06,1025.91,415.17,214680.96,Peaty,Yes,295.14,9.37,Low,No,Small
176.8,2577,1596.48,1530.84,619.51,282257.66,Sandy,No,483.87,8.48,High,Yes,Medium
187.2,5731,2757.64,1189.02,481.18,516230.21,Clay,No,405.62,15.64,Low,No,Large
208,3493,2963.88,2096.74,848.52,616487.04,Peaty,No,416.18,11.97,Medium,Yes,Medium
520,3560,1119.48,777.05,314.46,582129.6,Silty,No,490.19,14.07,Low,Yes,Large
312,3822,3011.05,1946.74,787.82,939447.6,Sandy,No,430.5,8.46,Medium,No,Small
166.4,1538,1099.35,1766.28,714.79,182931.84,Peaty,Yes,309,13.2,Medium,No,Medium
187.2,3325,3243.47,2410.46,975.48,607177.58,Peaty,Yes,473.23,7.17,High,No,Small
416,1111,246.71,548.72,222.06,102631.36,Silty,Yes,276.02,13.03,Medium,Yes,Large
208,2725,1725.61,1564.79,633.25,358926.88,Loamy,No,307.41,12.62,Low,Yes,Medium
260,3477,1773.13,1260.14,509.96,461013.8,Clay,Yes,387.16,9.19,Medium,Yes,Large
156,2014,1674.9,2055,831.63,261284.4,Peaty,No,417.33,12.38,Low,Yes,Large
176.8,2066,877.72,1049.8,424.84,155180.9,Sandy,Yes,467.4,12.89,Medium,No,Medium
197.6,3586,1042.45,718.33,290.7,205988.12,Silty,No,374.71,11.91,Medium,No,Large
176.8,2513,2404.29,2364.15,956.74,425078.47,Clay,No,471.19,10.64,Medium,Yes,Small
416,1982,272.45,339.67,137.46,113339.2,Loamy,No,378.54,11.09,Low,No,Large
260,4287,952.14,548.82,222.1,247556.4,Sandy,Yes,456.51,10.38,High,Yes,Medium
416,2151,444.65,510.82,206.72,184974.4,Peaty,Yes,374.56,13.95,High,No,Small
187.2,5846,3162.16,1336.62,540.91,591956.35,Silty,No,576.66,18.06,Medium,No,Large
176.8,2930,249.23,210.19,85.06,44063.86,Peaty,Yes,507.04,15.65,Low,No,Medium
312,2998,1449.41,1194.65,483.46,452215.92,Loamy,No,342.42,15.54,Medium,Yes,Small
197.6,2897,600.23,511.98,207.19,118605.45,Loamy,No,191.43,9.21,Low,Yes,Medium
166.4,1841,1400.93,1880.37,760.96,233114.75,Peaty,No,398.36,13.55,Low,Yes,Medium
312,3524,2877.84,2017.96,816.64,897886.08,Sandy,No,328.38,12.11,Medium,No,Small
156,1745,414.23,586.58,237.38,64619.88,Loamy,Yes,343.89,11.97,Medium,Yes,Small
312,2046,155.84,188.22,76.17,48622.08,Silty,Yes,285.13,12.89,Medium,No,Large
312,2868,508.04,437.72,177.14,158508.48,Loamy,Yes,362.33,13.12,High,No,Small
312,3827,2566,1656.84,670.5,800592,Peaty,No,309.38,11.62,Medium,No,Small
